Fecha Noticia,Link,Titulo,Resumen,Personas Mencionadas,Tema
"Wed, 11 Feb 2026 12:05:02 GMT",https://news.google.com/rss/articles/CBMinwJBVV95cUxPSGdxbmQyU0k5N2NLNDJfUXQxTG9FOFVkU1pOTHhHSEFHcUFlaWllN1JOa1pub0JhdUgtSkx0ZjNuU0V0YWlBY2s1SlJxOVJua09ENzIzTXg1VXNPaHhhTnpzYk53b2NxYi1NMnBrVWN0eG1kcW5CV19wUzZ4X1FFeWNfUEM0Y1g5M1FMR1ZhOFVvVVZ4NEt2SThvVFhvcW9LOWtPM1pIZ3BDT1NwcVpZc2dNeDZQazcyY01kQzRRdkhJU0FWTWY0UFBOZWttbUExUk9lYjljazRpbGNxeGl1RC1BV3pqMlNaM2N5cW5pdzE5a2ljWk1kbDhjN284Ujc3U2hwOUYtbnh5SC0waDIxWkM1Vy1BQ2t6Y1kyQUN2UdIBpAJBVV95cUxON3IwTkRRUjBkMHZEaFdxZm1aM3BQZ1JpSEp0UW9FcmJPaE1aeWxXTjZ4TlZ5RXZWRmdjMFM1S1UwTXRPUUlFNzZrcGNmam45b1ZfVlg0X0ZkWXVMX3BPOHZHSUtDTmRCbUtNelRnSlZfYWIzY1poUHBmdFlBSjJGU3U0aXV4YnoxbVpBX0ZmU0hfUDVtQzc0SmJqY0IwWkkwTFNld1RHNFFHeFgtUWgzVGp2VzZidjJTdjNBcUNYZW1ESXVVcFZadEZ4R3REbTNqeFpZRFZIMEJtT1pGZmdwUXlwTmd5Y041WHhQeTBadVQwVzdBOER3VGVjakRDN2dkUmtTYnJ6VUVUaXVoUTNQQksxak1kSXFaem90SVBmbVVrY3Ey?oc=5,Modelo colombiana se declara culpable y reconoció haber lavado más de 31 millones de dólares del narcotráfico en Estados Unidos - ELTIEMPO.COM,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxPSGdxbmQyU0k5N2NLNDJfUXQxTG9FOFVkU1pOTHhHSEFHcUFlaWllN1JOa1pub0JhdUgtSkx0ZjNuU0V0YWlBY2s1SlJxOVJua09ENzIzTXg1VXNPaHhhTnpzYk53b2NxYi1NMnBrVWN0eG1kcW5CV19wUzZ4X1FFeWNfUEM0Y1g5M1FMR1ZhOFVvVVZ4NEt2SThvVFhvcW9LOWtPM1pIZ3BDT1NwcVpZc2dNeDZQazcyY01kQzRRdkhJU0FWTWY0UFBOZWttbUExUk9lYjljazRpbGNxeGl1RC1BV3pqMlNaM2N5cW5pdzE5a2ljWk1kbDhjN284Ujc3U2hwOUYtbnh5SC0waDIxWkM1Vy1BQ2t6Y1kyQUN2UdIBpAJBVV95cUxON3IwTkRRUjBkMHZEaFdxZm1aM3BQZ1JpSEp0UW9FcmJPaE1aeWxXTjZ4TlZ5RXZWRmdjMFM1S1UwTXRPUUlFNzZrcGNmam45b1ZfVlg0X0ZkWXVMX3BPOHZHSUtDTmRCbUtNelRnSlZfYWIzY1poUHBmdFlBSjJGU3U0aXV4YnoxbVpBX0ZmU0hfUDVtQzc0SmJqY0IwWkkwTFNld1RHNFFHeFgtUWgzVGp2VzZidjJTdjNBcUNYZW1ESXVVcFZadEZ4R3REbTNqeFpZRFZIMEJtT1pGZmdwUXlwTmd5Y041WHhQeTBadVQwVzdBOER3VGVjakRDN2dkUmtTYnJ6VUVUaXVoUTNQQksxak1kSXFaem90SVBmbVVrY3Ey?oc=5"" target=""_blank"">Modelo colombiana se declara culpable y reconoció haber lavado más de 31 millones de dólares del narcotráfico en Estados Unidos</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ELTIEMPO.COM</font>",,Lavado de activos
"Wed, 11 Feb 2026 04:27:00 GMT",https://news.google.com/rss/articles/CBMizgFBVV95cUxNWThCZDRVT0V0dXhXRi1OWng4YjlITDZ4Rk81UG13M2hqSW9iWWE1Z0NZVGNEZVJOcDBIQ3VBYk9jbVhNRy02UFNNdjZjUlA4SWNiOHdMbXdfQlZXTDZib1J1UDFFdW9CVGtZMkxsMzhPczVvMkFTek4zd1JSRjFOMFBfV0NtNTVDMnFfN193b0tWYVpIMnlpZWQ3eFY5SVVXWWhQSlNVMF9lTHNJWHlUSWozQ21XSjFYcndydk9VLVlfeVRDMFM0ZC02R2gyUdIB6AFBVV95cUxNaTdUV0xhbG5waXVFa2ZLVkdXTTZNeG9tTEQ1ajMtSkVDUE9iUWpCOXlfNFZST19QWk9sZHRjNGstZjJHMUlxTGV0Y1JZS2VVeXFqM3drSEl3dUZILXBPT016dy1UeDFjMkxBdExvamVMYy1BMUdEa205LWpzRHV3azlpc2tsRGZ0UlNkemx6Y2I3SmFXNGczaHBzVk5VcXhhXzN0Y044OFdGTHNQOEVxZXNEdW9xWm15VC1wTXdiYlBoVEs1WmE2TnJqSzZZUU5JUjhmWC0xa2JxM29qbG8yOEhuUFRLaGhU?oc=5,Modelo colombiana reconoció haber lavado más de 30 millones de dólares en Estados Unidos - Infobae,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNWThCZDRVT0V0dXhXRi1OWng4YjlITDZ4Rk81UG13M2hqSW9iWWE1Z0NZVGNEZVJOcDBIQ3VBYk9jbVhNRy02UFNNdjZjUlA4SWNiOHdMbXdfQlZXTDZib1J1UDFFdW9CVGtZMkxsMzhPczVvMkFTek4zd1JSRjFOMFBfV0NtNTVDMnFfN193b0tWYVpIMnlpZWQ3eFY5SVVXWWhQSlNVMF9lTHNJWHlUSWozQ21XSjFYcndydk9VLVlfeVRDMFM0ZC02R2gyUdIB6AFBVV95cUxNaTdUV0xhbG5waXVFa2ZLVkdXTTZNeG9tTEQ1ajMtSkVDUE9iUWpCOXlfNFZST19QWk9sZHRjNGstZjJHMUlxTGV0Y1JZS2VVeXFqM3drSEl3dUZILXBPT016dy1UeDFjMkxBdExvamVMYy1BMUdEa205LWpzRHV3azlpc2tsRGZ0UlNkemx6Y2I3SmFXNGczaHBzVk5VcXhhXzN0Y044OFdGTHNQOEVxZXNEdW9xWm15VC1wTXdiYlBoVEs1WmE2TnJqSzZZUU5JUjhmWC0xa2JxM29qbG8yOEhuUFRLaGhU?oc=5"" target=""_blank"">Modelo colombiana reconoció haber lavado más de 30 millones de dólares en Estados Unidos</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Infobae</font>",,Lavado de activos
"Thu, 12 Feb 2026 12:52:42 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxNQm8yV3dLWkxOcGViTFgyaHZWNmJrc0pscmFIbUVVRlY4YUJmcGZCZUFobGxGLTdjSUd2WklsSk9MYzJsVU5FNjRMZkhFUjYwNnhCRnRDOW1jRWYySFFFdW9meFFXYloyOXBtbGt5Z3VuNUlPOVZGbjFiMmJfRlYtYUNTbmVSYkQtRkxBSjl1Mkw2LTBfeDVGM3d2UEFvYlVXc0000gGoAUFVX3lxTE0zUWdqNUYydEFMd3VjVUlSY25GTkZMcG5EVDV0aGkwYl9qYjJZQ2hWLTlDbVlfT25VQ1dPQjE3UHkxODE1bk5IcGgtTWY0aVZ5ZWlwQVlHVDB0NUlhMzZlTEJSMUZSZUo2QUpBa1VGWXQ2UkltVDRQYzhkSDBHYVBiWmNfTzRDN2F1dGo3STZtejdkY2dsWnVmd0lFY1ZaWl8xQWtpeWZFNw?oc=5,Imágenes: La lujosa vida de la modelo colombiana acusada de lavar millones en EE. UU. | El Colombiano - El Colombiano,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNQm8yV3dLWkxOcGViTFgyaHZWNmJrc0pscmFIbUVVRlY4YUJmcGZCZUFobGxGLTdjSUd2WklsSk9MYzJsVU5FNjRMZkhFUjYwNnhCRnRDOW1jRWYySFFFdW9meFFXYloyOXBtbGt5Z3VuNUlPOVZGbjFiMmJfRlYtYUNTbmVSYkQtRkxBSjl1Mkw2LTBfeDVGM3d2UEFvYlVXc0000gGoAUFVX3lxTE0zUWdqNUYydEFMd3VjVUlSY25GTkZMcG5EVDV0aGkwYl9qYjJZQ2hWLTlDbVlfT25VQ1dPQjE3UHkxODE1bk5IcGgtTWY0aVZ5ZWlwQVlHVDB0NUlhMzZlTEJSMUZSZUo2QUpBa1VGWXQ2UkltVDRQYzhkSDBHYVBiWmNfTzRDN2F1dGo3STZtejdkY2dsWnVmd0lFY1ZaWl8xQWtpeWZFNw?oc=5"" target=""_blank"">Imágenes: La lujosa vida de la modelo colombiana acusada de lavar millones en EE. UU. | El Colombiano</a>&nbsp;&nbsp;<font color=""#6f6f6f"">El Colombiano</font>",,Lavado de activos
"Fri, 13 Feb 2026 17:29:06 GMT",https://news.google.com/rss/articles/CBMizgFBVV95cUxNU09TQjh2SUp0bHJxclBlSkhyU1gyQm5tZ2syQjlNbU50ODFSWW1uQWJ5MXVRVVVFbWF2Uzd4c2NLcEIzczdRSkoySk43Zmc2ejdUU1NWNFdEaVNXcFZFazhTZy1SS1o3TXJjencxTUV0eXViZVVqNmx0cTdvcVlDVlRqUHJFUElLSWVmd1ZYUUtSakxMdjVyTGxRcUFYeURrZVQ5cHhjc0ZETk1ZMlRiMkRZbXBkZ1E5YTlpNWZtcEl1OTJVYlhUNXN5WHJaUdIBzgFBVV95cUxQb0J0b3dnc202SzlMUW40MW9MMWRBdEltVk1vMVEtTjlndkswbG5YNHprWGR3UHNTWTBpZzZxUVlyNVFueldwRmIyNUJ2U3M3cVZRalphYVIxd3JnVFc2NjMwbzI2dEkzUjFHWW9QM2FkZ0w5REEtTklWeGtmMllkeF9wcFJIVEl2NFBMRkVZbUJJc1BqRVNSdGpKcGNSbXZfUFF6YnNDLVA0clFlT0dxa0Z5SnRuRFdYTFJiUnRQMnpwTTdvS0dDNmJhby1Kdw?oc=5,Colombia formaliza alianza con bloque europeo para combatir redes de narcotráfico y lavado de activos - La FM,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNU09TQjh2SUp0bHJxclBlSkhyU1gyQm5tZ2syQjlNbU50ODFSWW1uQWJ5MXVRVVVFbWF2Uzd4c2NLcEIzczdRSkoySk43Zmc2ejdUU1NWNFdEaVNXcFZFazhTZy1SS1o3TXJjencxTUV0eXViZVVqNmx0cTdvcVlDVlRqUHJFUElLSWVmd1ZYUUtSakxMdjVyTGxRcUFYeURrZVQ5cHhjc0ZETk1ZMlRiMkRZbXBkZ1E5YTlpNWZtcEl1OTJVYlhUNXN5WHJaUdIBzgFBVV95cUxQb0J0b3dnc202SzlMUW40MW9MMWRBdEltVk1vMVEtTjlndkswbG5YNHprWGR3UHNTWTBpZzZxUVlyNVFueldwRmIyNUJ2U3M3cVZRalphYVIxd3JnVFc2NjMwbzI2dEkzUjFHWW9QM2FkZ0w5REEtTklWeGtmMllkeF9wcFJIVEl2NFBMRkVZbUJJc1BqRVNSdGpKcGNSbXZfUFF6YnNDLVA0clFlT0dxa0Z5SnRuRFdYTFJiUnRQMnpwTTdvS0dDNmJhby1Kdw?oc=5"" target=""_blank"">Colombia formaliza alianza con bloque europeo para combatir redes de narcotráfico y lavado de activos</a>&nbsp;&nbsp;<font color=""#6f6f6f"">La FM</font>",,Lavado de activos
"Fri, 13 Feb 2026 01:12:47 GMT",https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMTZjeEhDcHpEZDRvM2VEY2o5dW1jN3hDclllbzlrMjZ0aVBza08zN2p5eW52TEZpUFZtYkpNVE9kckl0dUpRTGVSc0xlU2pFZlJsc3ZDaFZCX3NKUlhFSkxSNUh0c0UxZUxyNVlQRFdQX01NMDlBRk9Ld0F4RzNEZGNIUmVFR0lLYTNkYjdkZWN3d3oxRmdDNjhnT1lHWmRqRWlybXdiU0lRQ1k0VVUyZXJaLURjVjVHajNZMGMtSmRtU3hVRC1pX0JxZC1nNkNfRnBrUDQ2bVRfSi00bW9xUTREWmVHdzBCX2pz0gGGAkFVX3lxTE9EUDNmazAzaEhaWFJTLS1tTWhHV1NIcl82dHZhLS1LUVdVY1c2YlFxZml2aXY4VF9RdXJWUTd1SmFTaHhvaUszMm1zekdGLTZLa19iS0FQQnh4aW5uRGJ2YnRMVzl2em4taUhnRHdWQ2VsOVI5cUU5bHBubHE3ZFBRU1RteVBMMGVMSkdaMDQ1aTMxT25SMWJleGNfZy1XOC05SkZLSWRxRm10bkNIREN5WWhJTURrblFuVDdoa0NDNi1DcUx6WDgzWkNDRzI0VUtveHJFM1VoTEpYTktSY3IzZWh4TEJYVG9CVlAxV3FQWHFMWENaM3huU3o0ZUU1UzJwUDZjOGc?oc=5,"Así vivía Valentina Forero Álvarez, la modelo colombiana que aceptó cargos por lavar millones del narcotráfico - ELHERALDO.CO","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMTZjeEhDcHpEZDRvM2VEY2o5dW1jN3hDclllbzlrMjZ0aVBza08zN2p5eW52TEZpUFZtYkpNVE9kckl0dUpRTGVSc0xlU2pFZlJsc3ZDaFZCX3NKUlhFSkxSNUh0c0UxZUxyNVlQRFdQX01NMDlBRk9Ld0F4RzNEZGNIUmVFR0lLYTNkYjdkZWN3d3oxRmdDNjhnT1lHWmRqRWlybXdiU0lRQ1k0VVUyZXJaLURjVjVHajNZMGMtSmRtU3hVRC1pX0JxZC1nNkNfRnBrUDQ2bVRfSi00bW9xUTREWmVHdzBCX2pz0gGGAkFVX3lxTE9EUDNmazAzaEhaWFJTLS1tTWhHV1NIcl82dHZhLS1LUVdVY1c2YlFxZml2aXY4VF9RdXJWUTd1SmFTaHhvaUszMm1zekdGLTZLa19iS0FQQnh4aW5uRGJ2YnRMVzl2em4taUhnRHdWQ2VsOVI5cUU5bHBubHE3ZFBRU1RteVBMMGVMSkdaMDQ1aTMxT25SMWJleGNfZy1XOC05SkZLSWRxRm10bkNIREN5WWhJTURrblFuVDdoa0NDNi1DcUx6WDgzWkNDRzI0VUtveHJFM1VoTEpYTktSY3IzZWh4TEJYVG9CVlAxV3FQWHFMWENaM3huU3o0ZUU1UzJwUDZjOGc?oc=5"" target=""_blank"">Así vivía Valentina Forero Álvarez, la modelo colombiana que aceptó cargos por lavar millones del narcotráfico</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ELHERALDO.CO</font>",,Lavado de activos
"Fri, 13 Feb 2026 02:37:00 GMT",https://news.google.com/rss/articles/CBMiigJBVV95cUxNNkxwT1hKV2RQRW5ydk9SMi1uX0hGUnNLTjh1YzVnNG5DY3JxSExBSGd2OWIyY1JxMG5Ic3FiY0VZZnFWQlNOaHp6TXhhbVh0bDhVMjZZNUNFLUNsNkRhOGlzdXdmQXpKS2ZiYUlvR1lrVUFxLUtNd2E0cVZ5WUFNLU1sbmpKUXVtWTg4RjMwZFdOa2Q3NTR4LUNCUjdJQkpYNkp1dHV3dHZEZ0VPZ2k5RzFzdVJVNnVWVDNoSTAyOEdNSVR3S3RVcHB5cm5uUmhEamdRZlIzN29WdENzUVVXdGRfUGt1MUk2RzBjQ0JkU2xYa1plVk1DLVF4UHRNN29fMUxBV2gwdGFsd9IBpAJBVV95cUxOR1lZdnNXRDFXU3hhcWlTc0M5MXJnYkNmQnZOVkZuTm1ZaTV0VkNFMHBCeU01eEMyMjUxay0xdXRtLTMzMkxHOURxdjRYX0g2S0dUeU51YlVDZGFUaGx2NFZONGttajhLYjdtN21sRXNRM2prRjVCY0xybEFpNmR1RnhYalhfWFIzNmRPLXp6ZEp5a2x0T056bDZ3MUdDTWVKMVQzQ05yMXV0R0tkTjNlNHhvY0pWcXFoOTFjSG5hQkFCUU9PS2JrQW9scVNkZTdtN2NUTUlHTmxlY3lZX0U5QXVqMmJEa29TN0l1dE9KMzNzTlF5Zjl6TVVmbUo3eWhrMS02enZVMVFxN05US1I1NFI1NExPWXBhcHIzYW1seGlNMzcx?oc=5,Ministerio de Cultura rechaza comentarios racistas en programa deportivo y anuncia acciones legales: “Constituyen un acto de discriminación” - Infobae,"<a href=""https://news.google.com/rss/articles/CBMiigJBVV95cUxNNkxwT1hKV2RQRW5ydk9SMi1uX0hGUnNLTjh1YzVnNG5DY3JxSExBSGd2OWIyY1JxMG5Ic3FiY0VZZnFWQlNOaHp6TXhhbVh0bDhVMjZZNUNFLUNsNkRhOGlzdXdmQXpKS2ZiYUlvR1lrVUFxLUtNd2E0cVZ5WUFNLU1sbmpKUXVtWTg4RjMwZFdOa2Q3NTR4LUNCUjdJQkpYNkp1dHV3dHZEZ0VPZ2k5RzFzdVJVNnVWVDNoSTAyOEdNSVR3S3RVcHB5cm5uUmhEamdRZlIzN29WdENzUVVXdGRfUGt1MUk2RzBjQ0JkU2xYa1plVk1DLVF4UHRNN29fMUxBV2gwdGFsd9IBpAJBVV95cUxOR1lZdnNXRDFXU3hhcWlTc0M5MXJnYkNmQnZOVkZuTm1ZaTV0VkNFMHBCeU01eEMyMjUxay0xdXRtLTMzMkxHOURxdjRYX0g2S0dUeU51YlVDZGFUaGx2NFZONGttajhLYjdtN21sRXNRM2prRjVCY0xybEFpNmR1RnhYalhfWFIzNmRPLXp6ZEp5a2x0T056bDZ3MUdDTWVKMVQzQ05yMXV0R0tkTjNlNHhvY0pWcXFoOTFjSG5hQkFCUU9PS2JrQW9scVNkZTdtN2NUTUlHTmxlY3lZX0U5QXVqMmJEa29TN0l1dE9KMzNzTlF5Zjl6TVVmbUo3eWhrMS02enZVMVFxN05US1I1NFI1NExPWXBhcHIzYW1seGlNMzcx?oc=5"" target=""_blank"">Ministerio de Cultura rechaza comentarios racistas en programa deportivo y anuncia acciones legales: “Constituyen un acto de discriminación”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Infobae</font>",,Artículo 323 Código Penal
"Sun, 15 Feb 2026 15:48:52 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxPZ2NmUDJ3dWx2WFB5ZEZZYTBOX09fd2xORlVRT0w1dnJfV3ZQdUZRNjI3QXMtMzRGZlZLRnlNWkRhTVA1RVdERDVxcWxWbkl0a1BZYm9lX0FEcDNrMXBzSllfdUxmNDJlV3JRZHEzelB1YlpYOXVvUi1KRF9zd0VYSG4wUUVjaVdpMDVYRmZSaTZkS2VxOHc?oc=5,"EL RACISMO EN LOS MEDIOS, columna de Johnny Padilla - diariocorreo.pe","<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPZ2NmUDJ3dWx2WFB5ZEZZYTBOX09fd2xORlVRT0w1dnJfV3ZQdUZRNjI3QXMtMzRGZlZLRnlNWkRhTVA1RVdERDVxcWxWbkl0a1BZYm9lX0FEcDNrMXBzSllfdUxmNDJlV3JRZHEzelB1YlpYOXVvUi1KRF9zd0VYSG4wUUVjaVdpMDVYRmZSaTZkS2VxOHc?oc=5"" target=""_blank"">EL RACISMO EN LOS MEDIOS, columna de Johnny Padilla</a>&nbsp;&nbsp;<font color=""#6f6f6f"">diariocorreo.pe</font>",,Artículo 323 Código Penal
"Mon, 16 Feb 2026 23:13:36 GMT",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQODFGUkdfRkVveEhINXNpM2FOSXItWGppVklYWFNTbjRLU3hxZXl6N0hVRXIzeExmV0x1T2RzTC1PRHI3d3Z2RlJwYkQtZWZYQVpYUjhCUzNIaGZpNGZMd296UVJNUmp5UF9IYm0yc3Y4TlE3UG9WczRuUTk0T191blQtd0RHWHZHcTNpRF9LWG9CbmJIdEZhN3FUaUpXVkZQWnlESzhjcllpaXBETFZ3YktzRDdBdFg0aWVQZW1vd1FyWFRySDUzVjFCd2Z0WmVX0gHQAUFVX3lxTFA4MUZSR19GRW94SEg1c2kzYU5Jci1YamlWSVhYU1NuNEtTeHFleXo3SFVFcjN4TGZXTHVPZHNMLU9Ecjd3dnZGUnBiRC1lZlhBWlhSOEJTM0hoZmk0Zkx3b3pRUk1SanlQX0hibTJzdjhOUTdQb1ZzNG5ROTRPX3VuVC13REdYdkdxM2lEX0tYb0JuYkh0RmE3cVRpSldWRlBaeURLOGNyWWlpcERMVndiS3NEN0F0WDRpZVBlbW93UXJYVHJINTNWMUJ3ZnRaZVc?oc=5,La medida que tomó la Justicia de Perú con el periodista que discriminó a Eryc Castillo - Olé,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQODFGUkdfRkVveEhINXNpM2FOSXItWGppVklYWFNTbjRLU3hxZXl6N0hVRXIzeExmV0x1T2RzTC1PRHI3d3Z2RlJwYkQtZWZYQVpYUjhCUzNIaGZpNGZMd296UVJNUmp5UF9IYm0yc3Y4TlE3UG9WczRuUTk0T191blQtd0RHWHZHcTNpRF9LWG9CbmJIdEZhN3FUaUpXVkZQWnlESzhjcllpaXBETFZ3YktzRDdBdFg0aWVQZW1vd1FyWFRySDUzVjFCd2Z0WmVX0gHQAUFVX3lxTFA4MUZSR19GRW94SEg1c2kzYU5Jci1YamlWSVhYU1NuNEtTeHFleXo3SFVFcjN4TGZXTHVPZHNMLU9Ecjd3dnZGUnBiRC1lZlhBWlhSOEJTM0hoZmk0Zkx3b3pRUk1SanlQX0hibTJzdjhOUTdQb1ZzNG5ROTRPX3VuVC13REdYdkdxM2lEX0tYb0JuYkh0RmE3cVRpSldWRlBaeURLOGNyWWlpcERMVndiS3NEN0F0WDRpZVBlbW93UXJYVHJINTNWMUJ3ZnRaZVc?oc=5"" target=""_blank"">La medida que tomó la Justicia de Perú con el periodista que discriminó a Eryc Castillo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Olé</font>",,Artículo 323 Código Penal
"Fri, 13 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9mNVU5OWxXQmphRWN1WnYxTU11cUVyUHN2eS12RWlLLWt0anZxQmpiVVNYczVpazBJcGV4RkFQYTVvOE9rblFQaUQxOTFVYy1tOUptU3dQSVQ5M0U0Z1F6NnZXb00?oc=5,Código Penal peruano [actualizado 2026] - LP | Pasión por el Derecho,"<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE9mNVU5OWxXQmphRWN1WnYxTU11cUVyUHN2eS12RWlLLWt0anZxQmpiVVNYczVpazBJcGV4RkFQYTVvOE9rblFQaUQxOTFVYy1tOUptU3dQSVQ5M0U0Z1F6NnZXb00?oc=5"" target=""_blank"">Código Penal peruano [actualizado 2026]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LP | Pasión por el Derecho</font>",,Artículo 323 Código Penal
